"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2018","RVVB","eengezinswoning","Nieuwbouw","Q4","1","14","14","14","0","2.493,89","0","2.820,63","1.120,00","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q4","20","20","20","87","285","2.538,19","29.655","12.553,53","4.731,21","0,00","0,00"
"2018","Provincie","meergezins- en kamerwoning","Verbouwen of hergebruik","Q2","5","5","5","14","29","3.398,35","565","1.611,03","608,49","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q2","20","20","20","71","868","3.979,37","9.178","20.164,57","7.216,80","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Nieuwbouw","Q4","2","25","25","40","76","3.992,30","1.758","6.299,35","2.422,34","0,00","0,00"
"2018","Vlaamse Overheid","meergezinswoning","Nieuwbouw","Q1","1","3","3","106","0","8.433,38","0","11.723,32","4.440,70","0,00","0,00"
"2018","RVVB","meergezinswoning","Nieuwbouw","Q4","6","9","9","104","0","8.992,60","0","10.982,36","4.098,69","0,00","0,00"
"2018","-","meergezins- en kamerwoning","Nieuwbouw","Q4","2","2","2","27","121","9.114,76","5.631","7.528,66","2.442,50","0,00","0,00"
"2018","Provincie","meergezins- en kamerwoning","Verbouwen of hergebruik","Q4","3","3","3","12","753","9.668,61","679","88.020,00","668,00","0,00","0,00"
"2018","-","meergezins- en kamerwoning","Verbouwen of hergebruik","Q2","7","7","7","118","249","9.852,50","6.394","23.487,95","4.659,66","0,00","0,00"
"2018","RVVB","meergezinswoning","Nieuwbouw","Q2","5","10","10","86","0","9.937,47","0","39.926,83","31.953,00","0,00","0,00"
"2018","Provincie","eengezinswoning","Verbouwen of hergebruik","Q2","65","85","85","79","0","14.175,83","0","16.686,14","13.332,84","0,00","0,00"
"2018","Provincie","eengezinswoning","Verbouwen of hergebruik","Q4","77","87","87","86","0","16.750,60","0","17.291,90","11.011,35","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q3","13","13","13","131","194","18.827,20","8.838","107.503,23","4.174,79","0,00","0,00"
"2018","Provincie","eengezinswoning","Nieuwbouw","Q1","56","156","156","149","0","23.420,22","0","24.640,61","15.070,65","0,00","0,00"
"2018","RVVB","meergezinswoning","Nieuwbouw","Q3","3","10","10","335","0","25.886,50","0","31.015,07","4.201,50","0,00","0,00"
"2018","Provincie","meergezinswoning","Verbouwen of hergebruik","Q2","48","51","51","181","0","30.726,69","0","20.756,06","10.009,98","0,00","0,00"
"2018","Provincie","meergezinswoning","Verbouwen of hergebruik","Q4","81","83","83","388","0","32.716,10","0","44.353,66","20.266,98","0,00","0,00"
"2018","Provincie","eengezinswoning","Nieuwbouw","Q2","81","239","239","231","0","35.574,42","0","64.715,24","25.512,73","0,00","0,00"
"2018","Provincie","eengezinswoning","Verbouwen of hergebruik","Q1","48","48","48","42","0","45.421,63","0","12.786,45","21.459,70","0,00","0,00"
"2018","Provincie","eengezinswoning","Verbouwen of hergebruik","Q3","65","76","76","72","0","49.442,08","0","40.207,98","23.727,99","0,00","0,00"
"2018","Provincie","meergezinswoning","Verbouwen of hergebruik","Q3","49","58","58","318","0","49.926,32","0","43.568,80","36.111,51","0,00","0,00"
"2018","-","meergezinswoning","Verbouwen of hergebruik","Q1","123","137","137","550","0","90.679,54","0","138.524,38","99.961,93","0,00","0,00"
"2018","Provincie","eengezinswoning","Nieuwbouw","Q4","96","325","325","317","0","94.997,43","0","76.293,25","34.491,11","0,00","0,00"
"2018","-","meergezinswoning","Verbouwen of hergebruik","Q4","191","198","198","816","0","95.028,03","0","282.883,75","53.054,02","0,00","0,00"
"2018","-","meergezinswoning","Verbouwen of hergebruik","Q2","170","175","175","644","0","113.999,34","0","109.426,07","45.749,69","0,00","0,00"
"2018","-","eengezinswoning","Verbouwen of hergebruik","Q1","372","381","384","343","0","115.086,83","0","81.085,30","127.121,35","0,00","0,00"
"2018","Provincie","eengezinswoning","Nieuwbouw","Q3","90","264","264","258","0","115.989,75","0","112.350,82","79.204,04","0,00","0,00"
"2018","-","eengezinswoning","Verbouwen of hergebruik","Q4","524","560","567","510","0","117.928,53","0","147.854,14","119.231,30","0,00","0,00"
"2018","Provincie","meergezinswoning","Nieuwbouw","Q1","53","64","64","644","0","118.705,25","0","74.036,19","28.266,87","0,00","0,00"
"2018","-","eengezinswoning","Verbouwen of hergebruik","Q3","392","418","420","383","0","127.342,20","0","130.434,45","73.130,81","0,00","0,00"
"2018","-","meergezinswoning","Verbouwen of hergebruik","Q3","166","170","170","831","0","127.834,78","0","107.409,57","45.706,25","0,00","0,00"
"2018","-","eengezinswoning","Verbouwen of hergebruik","Q2","455","567","567","512","0","128.022,79","0","360.239,30","90.357,39","0,00","0,00"
"2018","Provincie","meergezinswoning","Verbouwen of hergebruik","Q1","36","39","39","163","0","182.461,21","0","23.294,95","11.325,46","0,00","0,00"
"2018","Provincie","meergezinswoning","Nieuwbouw","Q3","121","169","169","1.646","0","200.621,41","0","229.034,75","164.456,88","0,00","0,00"
"2018","-","meergezinswoning","Nieuwbouw","Q1","117","158","158","1.414","0","207.004,94","0","220.200,38","116.542,82","0,00","0,00"
"2018","Provincie","meergezinswoning","Nieuwbouw","Q2","124","162","162","1.971","0","226.571,97","0","200.344,35","99.709,31","0,00","0,00"
"2018","Provincie","meergezinswoning","Nieuwbouw","Q4","107","128","128","1.474","0","242.284,24","0","195.726,39","64.848,88","0,00","0,00"
"2018","-","eengezinswoning","Nieuwbouw","Q3","414","859","859","814","0","261.031,20","0","228.309,58","159.609,81","0,00","0,00"
"2018","-","eengezinswoning","Nieuwbouw","Q1","286","551","551","528","0","264.233,48","0","246.802,42","99.675,66","0,00","0,00"
"2018","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q1","359","377","378","1.381","0","266.235,01","0","201.189,51","87.231,59","0,00","0,00"
"2018","-","eengezinswoning","Nieuwbouw","Q4","571","1.155","1.155","1.118","0","276.325,06","0","326.262,02","190.031,31","0,00","0,00"
"2018","-","eengezinswoning","Nieuwbouw","Q2","456","762","762","730","0","292.676,99","0","213.734,91","296.325,28","0,00","0,00"
"2018","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q3","488","493","494","2.185","0","293.709,76","0","383.784,88","194.174,47","0,00","0,00"
"2018","-","meergezinswoning","Nieuwbouw","Q3","208","255","255","2.971","0","330.253,36","0","450.698,21","285.281,72","0,00","0,00"
"2018","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q4","629","643","645","2.692","0","376.010,49","0","394.604,23","170.006,35","0,00","0,00"
