jaar,niscode,aantal_huishoudleden,aantal
2010,41048,4+,2920
2010,41063,1,1009
2010,41063,2,1370
2010,41063,3,775
2010,41063,4+,812
2010,41081,1,3180
2010,41081,2,3842
2010,41081,3,1783
2010,41081,4+,1925
2010,41082,1,2121
2010,41082,2,2899
2010,41082,3,1459
2010,41082,4+,1542
2010,42003,1,1651
2010,42003,2,2135
2010,42003,3,1051
2010,42003,4+,1215
2010,42004,1,1411
2010,42004,2,2139
2010,42004,3,1019
2010,42004,4+,1188
2010,42006,1,5912
2010,42006,2,6722
2010,42006,3,3113
2010,42006,4+,3338
2010,42008,1,2631
2010,42008,2,3548
2010,42008,3,1609
2010,42008,4+,2015
2010,42010,1,1315
2010,42010,2,1826
2010,42010,3,857
2010,42010,4+,1045
2010,42011,1,2104
2010,42011,2,2684
2010,42011,3,1326
2010,42011,4+,1446
2010,42023,1,995
2010,42023,2,1602
2010,42023,3,659
2010,42023,4+,926
2010,42025,1,3207
2010,42025,2,3749
2010,42025,3,1623
2010,42025,4+,1760
2010,42026,1,1300
2010,42026,2,1775
2010,42026,3,777
2010,42026,4+,928
2010,42028,1,2007
2010,42028,2,2802
2010,42028,3,1338
2010,42028,4+,1920
2010,43002,1,1554
2010,43002,2,2175
2010,43002,3,937
2010,43002,4+,1120
2010,43005,1,3124
2010,43005,2,3153
2010,43005,3,1276
2010,43005,4+,1458
2010,43007,1,612
2010,43007,2,876
2010,43007,3,418
2010,43007,4+,574
2010,43010,1,2510
2010,43010,2,3388
2010,43010,3,1578
2010,43010,4+,1984
2010,43014,1,749
2010,43014,2,996
2010,43014,3,404
2010,43014,4+,599
2010,43018,1,1766
2010,43018,2,1960
2010,43018,3,881
2010,43018,4+,849
2010,44012,1,907
2010,44012,2,1497
2010,44012,3,629
2010,44012,4+,1008
2010,44013,1,1860
2010,44013,2,2736
2010,44013,3,1193
2010,44013,4+,1507
2010,44019,1,3199
2010,44019,2,5029
2010,44019,3,2361
2010,44019,4+,2744
2010,44020,1,1163
2010,44020,2,1793
2010,44020,3,938
2010,44020,4+,1086
2010,44021,1,51384
2010,44021,2,33598
2010,44021,3,13692
2010,44021,4+,17495
2010,44034,1,1788
2010,44034,2,2927
2010,44034,3,1442
2010,44034,4+,2087
2010,44040,1,1192
2010,44040,2,1586
2010,44040,3,714
2010,44040,4+,919
2010,44043,1,2365
2010,44043,2,3339
2010,44043,3,1521
2010,44043,4+,2064
2010,44045,1,617
2010,44045,2,949
2010,44045,3,391
2010,44045,4+,515
2010,44048,1,1046
2010,44048,2,1604
2010,44048,3,711
2010,44048,4+,1019
2010,44052,1,1157
2010,44052,2,1800
2010,44052,3,944
2010,44052,4+,1278
2010,44064,1,878
2010,44064,2,1236
2010,44064,3,497
2010,44064,4+,790
2010,44073,1,746
2010,44073,2,1022
2010,44073,3,482
2010,44073,4+,593
2010,44081,1,1494
2010,44081,2,2137
2010,44081,3,1026
2010,44081,4+,1374
2010,44083,1,4432
2010,44083,2,5912
2010,44083,3,2769
2010,44083,4+,3676
2010,44084,1,2823
2010,44084,2,4116
2010,44084,3,1816
2010,44084,4+,2479
2010,44085,1,2605
2010,44085,2,4004
2010,44085,3,1744
2010,44085,4+,2104
2010,45035,1,3718
2010,45035,2,4390
2010,45035,3,2036
2010,45035,4+,2425
2010,45041,1,3412
2010,45041,2,3276
2010,45041,3,1539
2010,45041,4+,2186
2010,45059,1,1589
2010,45059,2,2024
2010,45059,3,1053
2010,45059,4+,1149
2010,45060,1,718
2010,45060,2,839
2010,45060,3,444
2010,45060,4+,584
2010,45061,1,530
2010,45061,2,858
2010,45061,3,429
2010,45061,4+,613
2010,45062,1,174
2010,45062,2,263
2010,45062,3,139
2010,45062,4+,184
2010,45063,1,597
2010,45063,2,945
2010,45063,3,475
2010,45063,4+,592
2010,45064,1,500
2010,45064,2,829
2010,45064,3,417
2010,45064,4+,626
2010,45065,1,707
2010,45065,2,1123
2010,45065,3,604
2010,45065,4+,737
2010,45068,1,1431
2010,45068,2,2108
2010,45068,3,1063
2010,45068,4+,1434
2010,46003,1,4872
2010,46003,2,6969
2010,46003,3,3105
2010,46003,4+,4032
2010,46013,1,1666
2010,46013,2,2376
2010,46013,3,1032
2010,46013,4+,1393
2010,46014,1,4277
2010,46014,2,5374
2010,46014,3,2542
2010,46014,4+,3510
2010,46020,1,1713
2010,46020,2,2639
2010,46020,3,1195
2010,46020,4+,1734
2010,46021,1,9628
2010,46021,2,10526
2010,46021,3,4370
2010,46021,4+,5807
2010,46024,1,1703
2010,46024,2,2643
2010,46024,3,1234
2010,46024,4+,1480
2010,46025,1,3106
2010,46025,2,4019
